Timestamp,Date,Hour,Open,High,Low,Close_Futures_LTP,Volume,Security_ID,Dhan_Source,Commodity,Futures_Basis_Proxy,Basis_Diff_d1
2025-11-10 23:00,2025-11-10,23,128358.0,128358.0,128358.0,128358.0,1.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2025-11-13 20:00,2025-11-13,20,132095.0,132095.0,132095.0,132095.0,1.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2025-11-13 21:00,2025-11-13,21,132095.0,132095.0,132095.0,132095.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2025-11-13 22:00,2025-11-13,22,132095.0,132095.0,132095.0,132095.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2025-11-13 23:00,2025-11-13,23,132095.0,132095.0,132095.0,132095.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2025-11-17 09:00,2025-11-17,9,131391.0,131391.0,131391.0,131391.0,2.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2025-11-17 10:00,2025-11-17,10,131391.0,131391.0,131391.0,131391.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2025-11-17 11:00,2025-11-17,11,131391.0,131391.0,130470.0,130470.0,1.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,-921.0,-921.0
2025-11-17 12:00,2025-11-17,12,130470.0,130470.0,130470.0,130470.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,921.0
2025-11-17 13:00,2025-11-17,13,130470.0,130470.0,130470.0,130470.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2025-11-17 14:00,2025-11-17,14,130470.0,130470.0,130470.0,130470.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2025-11-17 15:00,2025-11-17,15,130470.0,130470.0,130470.0,130470.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2025-11-17 16:00,2025-11-17,16,130470.0,130470.0,130470.0,130470.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2025-11-17 17:00,2025-11-17,17,130470.0,130470.0,130470.0,130470.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2025-11-17 18:00,2025-11-17,18,130470.0,130470.0,130470.0,130470.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2025-11-17 19:00,2025-11-17,19,130470.0,130470.0,130470.0,130470.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2025-11-17 20:00,2025-11-17,20,130470.0,130470.0,130470.0,130470.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2025-11-17 21:00,2025-11-17,21,130470.0,130470.0,130470.0,130470.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2025-11-17 22:00,2025-11-17,22,130470.0,130470.0,130470.0,130470.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2025-11-17 23:00,2025-11-17,23,130470.0,130470.0,130470.0,130470.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2025-11-27 10:00,2025-11-27,10,133345.0,133345.0,133345.0,133345.0,1.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2025-11-27 11:00,2025-11-27,11,133345.0,133345.0,133345.0,133345.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2025-11-27 12:00,2025-11-27,12,133345.0,133345.0,133345.0,133345.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2025-11-27 13:00,2025-11-27,13,133345.0,133345.0,133345.0,133345.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2025-11-27 14:00,2025-11-27,14,133345.0,133345.0,133345.0,133345.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2025-11-27 15:00,2025-11-27,15,133345.0,133345.0,133345.0,133345.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2025-11-27 16:00,2025-11-27,16,133345.0,133345.0,133345.0,133345.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2025-11-27 17:00,2025-11-27,17,133345.0,133345.0,133345.0,133345.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2025-11-27 18:00,2025-11-27,18,133345.0,133345.0,133345.0,133345.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2025-11-27 19:00,2025-11-27,19,133345.0,133345.0,133345.0,133345.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2025-11-27 20:00,2025-11-27,20,133345.0,133345.0,133345.0,133345.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2025-11-27 21:00,2025-11-27,21,133345.0,133345.0,133345.0,133345.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2025-11-27 22:00,2025-11-27,22,133345.0,133345.0,133345.0,133345.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2025-11-27 23:00,2025-11-27,23,133345.0,133345.0,133345.0,133345.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-01-20 14:00,2026-01-20,14,174236.0,174236.0,174236.0,174236.0,1.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-01-20 15:00,2026-01-20,15,174236.0,174236.0,174236.0,174236.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-01-20 16:00,2026-01-20,16,174236.0,174236.0,174236.0,174236.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-01-20 17:00,2026-01-20,17,174236.0,174236.0,174236.0,174236.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-01-20 18:00,2026-01-20,18,174236.0,174236.0,174236.0,174236.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-01-20 19:00,2026-01-20,19,174236.0,174236.0,174236.0,174236.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-01-20 20:00,2026-01-20,20,174236.0,174236.0,174236.0,174236.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-01-20 21:00,2026-01-20,21,174236.0,174236.0,174236.0,174236.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-01-20 22:00,2026-01-20,22,174236.0,174236.0,174236.0,174236.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-01-20 23:00,2026-01-20,23,174236.0,174236.0,174236.0,174236.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-01-21 09:00,2026-01-21,9,179463.0,179463.0,179463.0,179463.0,2.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-01-21 10:00,2026-01-21,10,179463.0,179463.0,179463.0,179463.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-01-21 11:00,2026-01-21,11,179463.0,179463.0,179463.0,179463.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-01-21 12:00,2026-01-21,12,179463.0,179463.0,179463.0,179463.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-01-21 13:00,2026-01-21,13,179463.0,184650.0,179463.0,184650.0,1.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,5187.0,5187.0
2026-01-21 14:00,2026-01-21,14,184650.0,184650.0,184650.0,184650.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,-5187.0
2026-01-21 15:00,2026-01-21,15,184650.0,184650.0,184650.0,184650.0,0.0,483079,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
