Timestamp,Date,Hour,Open,High,Low,Close_Futures_LTP,Volume,Dhan_Source,Commodity,Security_ID,Unit,Futures_Basis_Proxy,Basis_Diff_d1
2026-04-02 09:00,2026-04-02,9,1232.85,1232.85,1232.85,1232.85,1.0,Dhan HQ Paid API v2 (Client 1112620458),COPPER,568831,INR/kg,0.0,0.0
2026-04-02 10:00,2026-04-02,10,1232.85,1232.85,1232.85,1232.85,0.0,Dhan HQ Paid API v2 (Client 1112620458),COPPER,568831,INR/kg,0.0,0.0
2026-04-02 11:00,2026-04-02,11,1232.85,1232.85,1232.85,1232.85,0.0,Dhan HQ Paid API v2 (Client 1112620458),COPPER,568831,INR/kg,0.0,0.0
2026-04-02 12:00,2026-04-02,12,1232.85,1232.85,1232.85,1232.85,0.0,Dhan HQ Paid API v2 (Client 1112620458),COPPER,568831,INR/kg,0.0,0.0
2026-04-02 13:00,2026-04-02,13,1232.85,1232.85,1232.85,1232.85,0.0,Dhan HQ Paid API v2 (Client 1112620458),COPPER,568831,INR/kg,0.0,0.0
2026-04-02 14:00,2026-04-02,14,1232.85,1232.85,1232.85,1232.85,0.0,Dhan HQ Paid API v2 (Client 1112620458),COPPER,568831,INR/kg,0.0,0.0
2026-04-02 15:00,2026-04-02,15,1232.85,1232.85,1232.85,1232.85,0.0,Dhan HQ Paid API v2 (Client 1112620458),COPPER,568831,INR/kg,0.0,0.0
2026-04-02 16:00,2026-04-02,16,1232.85,1232.85,1232.85,1232.85,0.0,Dhan HQ Paid API v2 (Client 1112620458),COPPER,568831,INR/kg,0.0,0.0
2026-04-02 17:00,2026-04-02,17,1232.85,1232.85,1232.85,1232.85,0.0,Dhan HQ Paid API v2 (Client 1112620458),COPPER,568831,INR/kg,0.0,0.0
2026-04-02 18:00,2026-04-02,18,1232.85,1232.85,1232.85,1232.85,0.0,Dhan HQ Paid API v2 (Client 1112620458),COPPER,568831,INR/kg,0.0,0.0
2026-04-02 19:00,2026-04-02,19,1232.85,1232.85,1232.85,1232.85,0.0,Dhan HQ Paid API v2 (Client 1112620458),COPPER,568831,INR/kg,0.0,0.0
2026-04-02 20:00,2026-04-02,20,1232.85,1232.85,1232.85,1232.85,0.0,Dhan HQ Paid API v2 (Client 1112620458),COPPER,568831,INR/kg,0.0,0.0
2026-04-02 21:00,2026-04-02,21,1232.85,1232.85,1232.85,1232.85,0.0,Dhan HQ Paid API v2 (Client 1112620458),COPPER,568831,INR/kg,0.0,0.0
2026-04-02 22:00,2026-04-02,22,1232.85,1232.85,1232.85,1232.85,0.0,Dhan HQ Paid API v2 (Client 1112620458),COPPER,568831,INR/kg,0.0,0.0
2026-04-02 23:00,2026-04-02,23,1232.85,1232.85,1232.85,1232.85,0.0,Dhan HQ Paid API v2 (Client 1112620458),COPPER,568831,INR/kg,0.0,0.0
