Timestamp,Date,Hour,Open,High,Low,Close_Futures_LTP,Volume,Dhan_Source,Commodity,Security_ID,Unit,Futures_Basis_Proxy,Basis_Diff_d1
2026-03-02 09:00,2026-03-02,9,143177.0,143177.0,143177.0,143177.0,24.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,0.0,0.0
2026-03-02 10:00,2026-03-02,10,143177.0,143177.0,143177.0,143177.0,0.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,0.0,0.0
2026-03-02 11:00,2026-03-02,11,143177.0,143177.0,143177.0,143177.0,0.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,0.0,0.0
2026-03-02 12:00,2026-03-02,12,143177.0,143177.0,143177.0,143177.0,0.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,0.0,0.0
2026-03-02 13:00,2026-03-02,13,143177.0,143177.0,143177.0,143177.0,0.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,0.0,0.0
2026-03-02 14:00,2026-03-02,14,143177.0,143177.0,143177.0,143177.0,0.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,0.0,0.0
2026-03-02 15:00,2026-03-02,15,143177.0,143177.0,143177.0,143177.0,0.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,0.0,0.0
2026-03-02 16:00,2026-03-02,16,143177.0,143177.0,143177.0,143177.0,0.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,0.0,0.0
2026-03-02 17:00,2026-03-02,17,143177.0,143177.0,143177.0,143177.0,0.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,0.0,0.0
2026-03-02 18:00,2026-03-02,18,143177.0,143177.0,143177.0,143177.0,0.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,0.0,0.0
2026-03-02 19:00,2026-03-02,19,143177.0,147347.0,143177.0,146500.0,12.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,3323.0,3323.0
2026-03-02 20:00,2026-03-02,20,146500.0,146500.0,146500.0,146500.0,0.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,0.0,-3323.0
2026-03-02 21:00,2026-03-02,21,146500.0,147500.0,146500.0,147500.0,5.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,1000.0,1000.0
2026-03-02 22:00,2026-03-02,22,147500.0,147500.0,146207.0,147044.0,3.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,-456.0,-1456.0
2026-03-02 23:00,2026-03-02,23,147044.0,147450.0,147044.0,147450.0,10.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,406.0,862.0
2026-03-03 17:00,2026-03-03,17,142849.0,144883.0,142849.0,144419.0,12.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,1570.0,1164.0
2026-03-03 18:00,2026-03-03,18,144419.0,144419.0,144419.0,144419.0,0.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,0.0,-1570.0
2026-03-03 19:00,2026-03-03,19,144419.0,144419.0,144398.0,144398.0,1.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,-21.0,-21.0
2026-03-03 20:00,2026-03-03,20,144398.0,144398.0,143300.0,143300.0,3.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,-1098.0,-1077.0
2026-03-03 21:00,2026-03-03,21,143300.0,143300.0,143300.0,143300.0,0.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,0.0,1098.0
2026-03-03 22:00,2026-03-03,22,143300.0,143300.0,143300.0,143300.0,0.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,0.0,0.0
2026-03-03 23:00,2026-03-03,23,143300.0,143300.0,143300.0,143300.0,0.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,0.0,0.0
2026-03-04 09:00,2026-03-04,9,145267.0,145267.0,144307.0,145115.0,4.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,-152.0,-152.0
2026-03-04 10:00,2026-03-04,10,145115.0,145115.0,145115.0,145115.0,0.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,0.0,152.0
2026-03-04 11:00,2026-03-04,11,145115.0,145115.0,145115.0,145115.0,0.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,0.0,0.0
2026-03-04 12:00,2026-03-04,12,145115.0,145115.0,145115.0,145115.0,0.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,0.0,0.0
2026-03-04 13:00,2026-03-04,13,145115.0,145115.0,145115.0,145115.0,0.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,0.0,0.0
2026-03-04 14:00,2026-03-04,14,145115.0,145115.0,145115.0,145115.0,0.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,0.0,0.0
2026-03-04 15:00,2026-03-04,15,145115.0,145115.0,145115.0,145115.0,0.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,0.0,0.0
2026-03-04 16:00,2026-03-04,16,145115.0,145115.0,145115.0,145115.0,0.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,0.0,0.0
2026-03-04 17:00,2026-03-04,17,145115.0,145115.0,144821.0,144821.0,1.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,-294.0,-294.0
2026-03-04 18:00,2026-03-04,18,144821.0,144821.0,144821.0,144821.0,0.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,0.0,294.0
2026-03-04 19:00,2026-03-04,19,144821.0,144821.0,144821.0,144821.0,0.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,0.0,0.0
2026-03-04 20:00,2026-03-04,20,144821.0,144821.0,144300.0,144300.0,1.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,-521.0,-521.0
2026-03-04 21:00,2026-03-04,21,144300.0,144300.0,144241.0,144241.0,1.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,-59.0,462.0
2026-03-04 22:00,2026-03-04,22,144241.0,144368.0,143800.0,144368.0,2.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,127.0,186.0
2026-03-04 23:00,2026-03-04,23,144368.0,144368.0,144368.0,144368.0,0.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,0.0,-127.0
2026-03-05 09:00,2026-03-05,9,143833.0,143833.0,143772.0,143772.0,3.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,-61.0,-61.0
2026-03-05 10:00,2026-03-05,10,143772.0,143772.0,143700.0,143700.0,1.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,-72.0,-11.0
2026-03-05 11:00,2026-03-05,11,143700.0,143700.0,143000.0,143000.0,2.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,-700.0,-628.0
2026-03-05 12:00,2026-03-05,12,143000.0,143000.0,143000.0,143000.0,0.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,0.0,700.0
2026-03-05 13:00,2026-03-05,13,143000.0,143000.0,143000.0,143000.0,0.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,0.0,0.0
2026-03-05 14:00,2026-03-05,14,143000.0,143326.0,143000.0,143180.0,3.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,180.0,180.0
2026-03-05 15:00,2026-03-05,15,143180.0,143180.0,143180.0,143180.0,0.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,0.0,-180.0
2026-03-05 16:00,2026-03-05,16,143180.0,143180.0,143180.0,143180.0,0.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,0.0,0.0
