Timestamp,Date,Hour,Commodity,Ticker,Open,High,Low,Close_Futures_LTP,Volume,Hourly_Return_Pct,Futures_Basis_Proxy,Basis_Diff_d1,Unit,Source
2025-08-21 07:00,2025-08-21,7,Gold,GC=F,3371.2,3377.1,3367.4,3376.1,6885,0.15,4.9,17.2,USD/oz,Authentic Futures Market Feed (1-Year 60m Candles)
2025-08-21 08:00,2025-08-21,8,Gold,GC=F,3376.3,3388.0,3376.3,3384.7,15047,0.25,8.4,3.5,USD/oz,Authentic Futures Market Feed (1-Year 60m Candles)
2025-08-21 09:00,2025-08-21,9,Gold,GC=F,3384.5,3391.2,3378.9,3382.5,15411,-0.06,-2.0,-10.4,USD/oz,Authentic Futures Market Feed (1-Year 60m Candles)
2025-08-21 10:00,2025-08-21,10,Gold,GC=F,3382.5,3391.9,3381.3,3387.9,13411,0.16,5.4,7.4,USD/oz,Authentic Futures Market Feed (1-Year 60m Candles)
2025-08-21 11:00,2025-08-21,11,Gold,GC=F,3387.9,3390.3,3380.9,3387.5,10616,-0.01,-0.4,-5.8,USD/oz,Authentic Futures Market Feed (1-Year 60m Candles)
2025-08-21 12:00,2025-08-21,12,Gold,GC=F,3387.6,3388.0,3382.2,3383.7,4671,-0.11,-3.9,-3.5,USD/oz,Authentic Futures Market Feed (1-Year 60m Candles)
2025-08-21 13:00,2025-08-21,13,Gold,GC=F,3384.0,3385.9,3381.1,3381.5,4473,-0.06999999999999999,-2.5,1.4,USD/oz,Authentic Futures Market Feed (1-Year 60m Candles)
2025-08-21 14:00,2025-08-21,14,Gold,GC=F,3381.6,3383.7,3381.1,3383.4,2021,0.06,1.8,4.3,USD/oz,Authentic Futures Market Feed (1-Year 60m Candles)
2025-08-21 15:00,2025-08-21,15,Gold,GC=F,3383.5,3385.9,3382.2,3383.2,2730,-0.01,-0.3,-2.1,USD/oz,Authentic Futures Market Feed (1-Year 60m Candles)
2025-08-21 16:00,2025-08-21,16,Gold,GC=F,3383.3,3383.7,3382.4,3383.5,905,0.01,0.2,0.5,USD/oz,Authentic Futures Market Feed (1-Year 60m Candles)
2025-08-21 18:00,2025-08-21,18,Gold,GC=F,3383.3,3385.0,3382.4,3383.4,0,-0.0,0.1,-0.1,USD/oz,Authentic Futures Market Feed (1-Year 60m Candles)
2025-08-21 19:00,2025-08-21,19,Gold,GC=F,3383.4,3384.0,3381.8,3382.6,742,-0.02,-0.8,-0.9,USD/oz,Authentic Futures Market Feed (1-Year 60m Candles)
2025-08-21 20:00,2025-08-21,20,Gold,GC=F,3382.5,3383.2,3379.3,3382.8,2457,0.01,0.3,1.1,USD/oz,Authentic Futures Market Feed (1-Year 60m Candles)
2025-08-21 21:00,2025-08-21,21,Gold,GC=F,3383.0,3383.7,3377.0,3377.4,2589,-0.16,-5.6,-5.9,USD/oz,Authentic Futures Market Feed (1-Year 60m Candles)
2025-08-21 22:00,2025-08-21,22,Gold,GC=F,3377.6,3379.6,3375.7,3376.9,3370,-0.01,-0.7,4.9,USD/oz,Authentic Futures Market Feed (1-Year 60m Candles)
2025-08-21 23:00,2025-08-21,23,Gold,GC=F,3376.8,3378.4,3374.5,3375.1,2746,-0.05,-1.7,-1.0,USD/oz,Authentic Futures Market Feed (1-Year 60m Candles)
2025-08-22 00:00,2025-08-22,0,Gold,GC=F,3374.9,3375.8,3370.9,3371.4,1928,-0.11,-3.5,-1.8,USD/oz,Authentic Futures Market Feed (1-Year 60m Candles)
2025-08-22 01:00,2025-08-22,1,Gold,GC=F,3371.4,3374.4,3370.2,3373.0,3017,0.05,1.6,5.1,USD/oz,Authentic Futures Market Feed (1-Year 60m Candles)
2025-08-22 02:00,2025-08-22,2,Gold,GC=F,3372.9,3372.9,3367.2,3371.8,5414,-0.04,-1.1,-2.7,USD/oz,Authentic Futures Market Feed (1-Year 60m Candles)
2025-08-22 03:00,2025-08-22,3,Gold,GC=F,3371.7,3377.8,3367.5,3369.5,7735,-0.06999999999999999,-2.2,-1.1,USD/oz,Authentic Futures Market Feed (1-Year 60m Candles)
2025-08-22 04:00,2025-08-22,4,Gold,GC=F,3369.5,3372.6,3367.2,3370.6,6750,0.03,1.1,3.3,USD/oz,Authentic Futures Market Feed (1-Year 60m Candles)
2025-08-22 05:00,2025-08-22,5,Gold,GC=F,3370.7,3373.6,3369.9,3372.1,2891,0.04,1.4,0.3,USD/oz,Authentic Futures Market Feed (1-Year 60m Candles)
2025-08-22 06:00,2025-08-22,6,Gold,GC=F,3372.1,3373.8,3370.7,3373.0,1960,0.03,0.9,-0.5,USD/oz,Authentic Futures Market Feed (1-Year 60m Candles)
2025-08-22 07:00,2025-08-22,7,Gold,GC=F,3373.0,3373.0,3369.1,3370.8,2421,-0.06999999999999999,-2.2,-3.1,USD/oz,Authentic Futures Market Feed (1-Year 60m Candles)
2025-08-22 08:00,2025-08-22,8,Gold,GC=F,3370.8,3371.3,3362.8,3365.0,11207,-0.16999999999999998,-5.8,-3.6,USD/oz,Authentic Futures Market Feed (1-Year 60m Candles)
2025-08-22 09:00,2025-08-22,9,Gold,GC=F,3365.0,3378.6,3364.8,3376.0,13555,0.33,11.0,16.8,USD/oz,Authentic Futures Market Feed (1-Year 60m Candles)
2025-08-22 10:00,2025-08-22,10,Gold,GC=F,3376.1,3422.3,3376.1,3419.3,64666,1.28,43.2,32.2,USD/oz,Authentic Futures Market Feed (1-Year 60m Candles)
2025-08-22 11:00,2025-08-22,11,Gold,GC=F,3419.4,3423.4,3411.8,3412.4,21919,-0.2,-7.0,-50.2,USD/oz,Authentic Futures Market Feed (1-Year 60m Candles)
2025-08-22 12:00,2025-08-22,12,Gold,GC=F,3412.5,3419.6,3412.3,3415.3,7895,0.08,2.8,9.8,USD/oz,Authentic Futures Market Feed (1-Year 60m Candles)
2025-08-22 13:00,2025-08-22,13,Gold,GC=F,3415.3,3420.8,3415.2,3419.2,5898,0.11,3.9,1.1,USD/oz,Authentic Futures Market Feed (1-Year 60m Candles)
2025-08-22 14:00,2025-08-22,14,Gold,GC=F,3419.2,3420.1,3416.5,3417.9,3200,-0.04,-1.3,-5.2,USD/oz,Authentic Futures Market Feed (1-Year 60m Candles)
2025-08-22 15:00,2025-08-22,15,Gold,GC=F,3418.1,3418.2,3414.5,3417.7,3548,-0.01,-0.4,0.9,USD/oz,Authentic Futures Market Feed (1-Year 60m Candles)
2025-08-22 16:00,2025-08-22,16,Gold,GC=F,3417.6,3418.5,3415.6,3418.5,2180,0.02,0.9,1.3,USD/oz,Authentic Futures Market Feed (1-Year 60m Candles)
2025-08-24 18:00,2025-08-24,18,Gold,GC=F,3417.6,3418.5,3411.7,3413.1,1997,-0.16,-4.5,-5.4,USD/oz,Authentic Futures Market Feed (1-Year 60m Candles)
2025-08-24 19:00,2025-08-24,19,Gold,GC=F,3413.1,3416.9,3412.2,3414.9,2287,0.05,1.8,6.3,USD/oz,Authentic Futures Market Feed (1-Year 60m Candles)
2025-08-24 20:00,2025-08-24,20,Gold,GC=F,3414.8,3415.5,3408.8,3410.1,3510,-0.13999999999999999,-4.7,-6.5,USD/oz,Authentic Futures Market Feed (1-Year 60m Candles)
